month,borough,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2016-09,Staten Island,EXP,All,Peak,"28,213,160","409,247,863.2",14.5055663102
2016-09,Staten Island,LCL/LTD,All,Off-Peak,"54,197,196","631,911,218.4",11.6594817636
2016-09,Staten Island,LCL/LTD,All,Peak,"30,173,307","335,002,726.8",11.1026188412
2016-09,Staten Island,SBS,All,Off-Peak,"8,955,485","135,047,509.2",15.0798654903
2016-09,Staten Island,SBS,All,Peak,"5,470,870","81,441,781.2",14.8864405844
2016-10,Bronx,EXP,All,Off-Peak,"28,043,179","335,935,875.6",11.9792365766
2016-10,Bronx,EXP,All,Peak,"21,646,530","225,119,332.8",10.3997884557
2016-10,Bronx,LCL/LTD,All,Off-Peak,"248,785,211","1,763,174,541.6",7.08713566419
2016-10,Bronx,LCL/LTD,All,Peak,"130,919,813","840,573,295.2",6.42052013319
2016-10,Bronx,SBS,All,Off-Peak,"15,834,436","149,242,150.8",9.42516366229
2016-10,Bronx,SBS,All,Peak,"8,776,403","75,289,989.6",8.57868418303
2016-10,Brooklyn,EXP,All,Off-Peak,"10,930,436","133,926,408",12.252613528
2016-10,Brooklyn,EXP,All,Peak,"10,935,731","125,843,418",11.5075451289
2016-10,Brooklyn,LCL/LTD,All,Off-Peak,"405,566,282","2,924,091,414",7.20989772518
2016-10,Brooklyn,LCL/LTD,All,Peak,"205,365,511","1,311,981,382.8",6.38851858042
2016-10,Brooklyn,SBS,All,Off-Peak,"19,935,937","180,885,466.8",9.07333659812
2016-10,Brooklyn,SBS,All,Peak,"13,479,738","114,501,218.4",8.49432076499
2016-10,Manhattan,LCL/LTD,All,Off-Peak,"192,323,004","1,095,378,231.6",5.69551332299
2016-10,Manhattan,LCL/LTD,All,Peak,"97,840,832","506,510,776.8",5.17688542142
2016-10,Manhattan,SBS,All,Off-Peak,"29,331,497","232,969,464",7.94263804537
2016-10,Manhattan,SBS,All,Peak,"15,147,647","104,684,130",6.91091692327
2016-10,Queens,EXP,All,Off-Peak,"7,947,474","108,270,572.4",13.6232685253
2016-10,Queens,EXP,All,Peak,"15,638,190","188,887,096.8",12.0785779428
2016-10,Queens,LCL/LTD,All,Off-Peak,"419,347,370","3,827,719,119.6",9.12780046671
2016-10,Queens,LCL/LTD,All,Peak,"225,947,878","1,846,725,116.4",8.17323505202
